"Total_Transaction","Total_Quantity","Total_Revenue","CATEGORY","UN_TRANSACTION_DATE"
3,13,3027,"Electronics","11/18/2024"
4,8,1361,"Grocery","11/18/2024"
5,14,4499,"Home","11/18/2024"
3,8,1636,"Sports","11/18/2024"
9,21,3870,"Clothing","11/18/2025"
2,2,141,"Electronics","11/18/2025"
7,21,4981,"Grocery","11/18/2025"
4,15,4064,"Home","11/18/2025"
8,19,4610,"Sports","11/18/2025"
5,17,2932,"Clothing","11/19/2024"
5,11,3001,"Electronics","11/19/2024"
7,22,4581,"Grocery","11/19/2024"
1,1,459,"Home","11/19/2024"
4,12,3084,"Sports","11/19/2024"
5,17,3077,"Clothing","11/19/2025"
2,7,1993,"Electronics","11/19/2025"
3,9,2628,"Grocery","11/19/2025"
3,6,2342,"Home","11/19/2025"
3,9,3309,"Sports","11/19/2025"
1,5,257,"Clothing","11/2/2024"
2,3,769,"Electronics","11/2/2024"
5,18,4749,"Grocery","11/2/2024"
3,5,1192,"Home","11/2/2024"
7,14,3066,"Sports","11/2/2024"
6,21,2717,"Clothing","11/2/2025"
6,18,4233,"Grocery","11/2/2025"
6,14,4963,"Home","11/2/2025"
4,16,4796,"Sports","11/2/2025"
6,20,3119,"Clothing","11/20/2024"
4,7,815,"Electronics","11/20/2024"
3,9,1440,"Grocery","11/20/2024"
3,9,3321,"Home","11/20/2024"
6,23,5012,"Sports","11/20/2024"
4,15,2785,"Clothing","11/20/2025"
1,5,313,"Electronics","11/20/2025"
7,20,5434,"Grocery","11/20/2025"
5,16,4487,"Home","11/20/2025"
7,21,2646,"Clothing","11/21/2024"
2,9,1991,"Electronics","11/21/2024"
6,18,2980,"Grocery","11/21/2024"
11,37,9787,"Home","11/21/2024"
6,17,5102,"Sports","11/21/2024"
6,18,2750,"Clothing","11/21/2025"
2,4,1494,"Electronics","11/21/2025"
5,15,2958,"Grocery","11/21/2025"
2,6,2241,"Home","11/21/2025"
1,4,766,"Sports","11/21/2025"
5,16,2727,"Clothing","11/22/2024"
7,22,5870,"Electronics","11/22/2024"
5,17,4493,"Grocery","11/22/2024"
8,30,8428,"Home","11/22/2024"
7,20,4455,"Sports","11/22/2024"
2,6,593,"Clothing","11/22/2025"
5,15,4521,"Electronics","11/22/2025"
8,17,3701,"Grocery","11/22/2025"
11,41,11444,"Home","11/22/2025"
8,15,4127,"Sports","11/22/2025"
5,16,2140,"Clothing","11/23/2024"
2,7,2841,"Electronics","11/23/2024"
3,12,3389,"Grocery","11/23/2024"
4,11,3202,"Home","11/23/2024"
4,11,2316,"Sports","11/23/2024"
1,1,323,"Clothing","11/23/2025"
4,13,2782,"Electronics","11/23/2025"
4,11,2412,"Grocery","11/23/2025"
1,2,767,"Home","11/23/2025"
5,16,3260,"Sports","11/23/2025"
5,20,3016,"Clothing","11/24/2024"
6,16,4445,"Electronics","11/24/2024"
2,8,2310,"Grocery","11/24/2024"
9,30,7729,"Home","11/24/2024"
4,8,2718,"Sports","11/24/2024"
4,9,1016,"Clothing","11/24/2025"
3,11,3902,"Electronics","11/24/2025"
4,10,2002,"Grocery","11/24/2025"
11,37,12136,"Home","11/24/2025"
5,16,3197,"Sports","11/24/2025"
6,19,3217,"Clothing","11/25/2024"
2,5,1253,"Electronics","11/25/2024"
3,8,2327,"Grocery","11/25/2024"
5,12,4670,"Home","11/25/2024"
6,12,3077,"Sports","11/25/2024"
3,8,970,"Clothing","11/25/2025"
1,3,1345,"Electronics","11/25/2025"
5,14,1973,"Grocery","11/25/2025"
4,13,2714,"Home","11/25/2025"
3,9,1734,"Sports","11/25/2025"
3,10,1490,"Clothing","11/26/2024"
2,5,698,"Electronics","11/26/2024"
3,10,3018,"Grocery","11/26/2024"
4,14,5069,"Home","11/26/2024"
6,24,5256,"Sports","11/26/2024"
2,7,865,"Clothing","11/26/2025"
2,6,1826,"Electronics","11/26/2025"
2,8,1687,"Grocery","11/26/2025"
5,14,4057,"Home","11/26/2025"
2,5,1174,"Sports","11/26/2025"
5,12,2445,"Clothing","11/27/2024"
5,18,3538,"Electronics","11/27/2024"
5,20,3371,"Grocery","11/27/2024"
17,60,16339,"Home","11/27/2024"
7,21,5896,"Sports","11/27/2024"
8,22,1902,"Clothing","11/27/2025"
6,16,4133,"Electronics","11/27/2025"
3,7,490,"Grocery","11/27/2025"
9,31,8054,"Home","11/27/2025"
7,18,4618,"Sports","11/27/2025"
8,25,3263,"Clothing","11/28/2024"
1,4,1218,"Electronics","11/28/2024"
5,19,6271,"Grocery","11/28/2024"
10,26,5843,"Home","11/28/2024"
6,22,3834,"Sports","11/28/2024"
6,19,2837,"Clothing","11/28/2025"
2,6,1242,"Electronics","11/28/2025"
2,6,2200,"Grocery","11/28/2025"
5,10,2511,"Home","11/28/2025"
6,17,2986,"Sports","11/28/2025"
5,10,2074,"Clothing","11/29/2024"
5,18,4153,"Electronics","11/29/2024"
3,7,1865,"Grocery","11/29/2024"
4,15,4302,"Home","11/29/2024"
8,29,8047,"Sports","11/29/2024"
2,8,1501,"Clothing","11/29/2025"
3,12,3219,"Electronics","11/29/2025"
6,11,2609,"Grocery","11/29/2025"
2,8,3100,"Home","11/29/2025"
8,30,5251,"Clothing","11/3/2024"
2,6,1209,"Electronics","11/3/2024"
5,13,3373,"Grocery","11/3/2024"
3,12,2839,"Home","11/3/2024"
8,30,7172,"Sports","11/3/2024"
1,4,1140,"Clothing","11/3/2025"
2,6,1542,"Electronics","11/3/2025"
8,24,5673,"Grocery","11/3/2025"
5,20,5381,"Home","11/3/2025"
2,5,1057,"Sports","11/3/2025"
2,8,641,"Clothing","11/30/2024"
3,12,3095,"Electronics","11/30/2024"
1,5,75,"Grocery","11/30/2024"
7,19,4449,"Home","11/30/2024"
7,23,4861,"Sports","11/30/2024"
3,6,1078,"Clothing","11/30/2025"
2,5,1255,"Electronics","11/30/2025"
1,4,350,"Grocery","11/30/2025"
7,22,5074,"Home","11/30/2025"
3,10,2916,"Sports","11/30/2025"
4,15,3491,"Clothing","11/4/2024"
3,6,1644,"Electronics","11/4/2024"
4,17,4869,"Grocery","11/4/2024"
6,12,3603,"Home","11/4/2024"
4,11,3166,"Sports","11/4/2024"
4,16,1877,"Clothing","11/4/2025"
1,2,157,"Electronics","11/4/2025"
7,25,6386,"Home","11/4/2025"
7,25,7642,"Sports","11/4/2025"
2,4,647,"Clothing","11/5/2024"
3,9,2276,"Electronics","11/5/2024"
11,25,5909,"Grocery","11/5/2024"
9,33,6810,"Home","11/5/2024"
7,24,6070,"Sports","11/5/2024"
6,9,908,"Clothing","11/5/2025"
4,10,2535,"Electronics","11/5/2025"
3,7,2572,"Grocery","11/5/2025"
7,24,7309,"Home","11/5/2025"
2,5,669,"Sports","11/5/2025"
5,10,1295,"Clothing","11/6/2024"
1,3,729,"Electronics","11/6/2024"
2,5,987,"Grocery","11/6/2024"
5,21,5436,"Home","11/6/2024"
2,4,1430,"Sports","11/6/2024"
2,9,2403,"Clothing","11/6/2025"
5,14,3634,"Grocery","11/6/2025"
6,20,4313,"Home","11/6/2025"
1,3,999,"Sports","11/6/2025"
4,11,1155,"Clothing","11/7/2024"
5,16,2874,"Electronics","11/7/2024"
6,14,2000,"Grocery","11/7/2024"
11,34,8271,"Home","11/7/2024"
5,13,2818,"Sports","11/7/2024"
2,4,761,"Clothing","11/7/2025"
1,1,378,"Electronics","11/7/2025"
1,1,263,"Grocery","11/7/2025"
3,5,1614,"Home","11/7/2025"
4,9,2421,"Sports","11/7/2025"
4,9,1045,"Clothing","11/8/2024"
5,16,4192,"Electronics","11/8/2024"
8,21,5320,"Grocery","11/8/2024"
7,18,5171,"Home","11/8/2024"
6,19,5899,"Sports","11/8/2024"
5,19,4382,"Clothing","11/8/2025"
1,5,651,"Electronics","11/8/2025"
2,5,2062,"Grocery","11/8/2025"
4,8,1191,"Home","11/8/2025"
3,13,3872,"Sports","11/8/2025"
4,12,1896,"Clothing","11/9/2024"
1,2,246,"Electronics","11/9/2024"
7,27,7719,"Grocery","11/9/2024"
11,25,6314,"Home","11/9/2024"
6,15,3526,"Sports","11/9/2024"
2,2,281,"Clothing","11/9/2025"
3,8,3135,"Electronics","11/9/2025"
2,6,1877,"Grocery","11/9/2025"
9,26,5203,"Home","11/9/2025"
8,23,7741,"Sports","11/9/2025"
6,21,4804,"Clothing","12/1/2024"
3,12,2504,"Electronics","12/1/2024"
6,15,3934,"Grocery","12/1/2024"
6,18,5730,"Home","12/1/2024"
7,14,3701,"Sports","12/1/2024"
2,5,631,"Clothing","12/1/2025"
1,5,615,"Electronics","12/1/2025"
9,25,4781,"Grocery","12/1/2025"
8,22,5750,"Home","12/1/2025"
6,18,5900,"Sports","12/1/2025"
8,22,3955,"Clothing","12/10/2024"
4,10,2844,"Grocery","12/10/2024"
4,16,4047,"Home","12/10/2024"
5,12,2099,"Sports","12/10/2024"
4,12,2814,"Clothing","12/10/2025"
1,2,368,"Electronics","12/10/2025"
4,13,3204,"Grocery","12/10/2025"
7,28,6603,"Home","12/10/2025"
5,23,3711,"Sports","12/10/2025"
5,22,4690,"Clothing","12/11/2024"
2,8,2943,"Electronics","12/11/2024"
4,10,497,"Grocery","12/11/2024"
4,15,4099,"Home","12/11/2024"
2,6,1953,"Sports","12/11/2024"
2,2,461,"Clothing","12/11/2025"
7,16,4128,"Electronics","12/11/2025"
3,10,1885,"Grocery","12/11/2025"
1,4,1309,"Home","12/11/2025"
4,11,3485,"Sports","12/11/2025"
4,11,1372,"Clothing","12/12/2024"
2,4,1500,"Electronics","12/12/2024"
8,23,3464,"Grocery","12/12/2024"
11,28,6549,"Home","12/12/2024"
7,18,3805,"Sports","12/12/2024"
7,16,2626,"Clothing","12/12/2025"
4,9,2617,"Electronics","12/12/2025"
8,31,8112,"Grocery","12/12/2025"
3,9,1391,"Home","12/12/2025"
2,2,585,"Sports","12/12/2025"
3,12,1248,"Clothing","12/13/2024"
6,19,3879,"Electronics","12/13/2024"
6,18,3012,"Grocery","12/13/2024"
10,32,8710,"Home","12/13/2024"
6,18,1877,"Sports","12/13/2024"
9,30,4508,"Clothing","12/13/2025"
4,10,2093,"Electronics","12/13/2025"
6,18,4352,"Grocery","12/13/2025"
7,21,5965,"Home","12/13/2025"
8,23,6865,"Sports","12/13/2025"
10,26,4268,"Clothing","12/14/2024"
3,7,1377,"Electronics","12/14/2024"
3,6,1970,"Grocery","12/14/2024"
12,36,8429,"Home","12/14/2024"
4,13,4784,"Sports","12/14/2024"
4,13,3348,"Clothing","12/14/2025"
4,7,1628,"Electronics","12/14/2025"
7,23,5524,"Grocery","12/14/2025"
16,42,10940,"Home","12/14/2025"
3,12,3444,"Sports","12/14/2025"
5,10,1306,"Clothing","12/15/2024"
4,17,3349,"Electronics","12/15/2024"
3,9,1446,"Grocery","12/15/2024"
7,22,6425,"Home","12/15/2024"
1,1,225,"Sports","12/15/2024"
6,14,2196,"Clothing","12/15/2025"
3,10,2458,"Electronics","12/15/2025"
5,12,2846,"Grocery","12/15/2025"
6,17,3600,"Home","12/15/2025"
6,19,4172,"Sports","12/15/2025"
3,9,1582,"Clothing","12/16/2024"
2,5,899,"Electronics","12/16/2024"
7,13,4257,"Grocery","12/16/2024"
5,12,3151,"Home","12/16/2024"
4,10,3248,"Sports","12/16/2024"
6,16,3478,"Clothing","12/16/2025"
2,5,956,"Electronics","12/16/2025"
6,18,3959,"Grocery","12/16/2025"
10,33,6853,"Home","12/16/2025"
8,23,5329,"Sports","12/16/2025"
9,29,4895,"Clothing","12/17/2024"
2,8,1396,"Electronics","12/17/2024"
6,18,3883,"Grocery","12/17/2024"
5,12,3460,"Home","12/17/2024"
6,15,4560,"Sports","12/17/2024"
2,10,2057,"Grocery","12/17/2025"
2,7,712,"Home","12/17/2025"
5,17,3836,"Sports","12/17/2025"
4,9,1020,"Clothing","12/18/2024"
1,1,130,"Electronics","12/18/2024"
4,18,4536,"Grocery","12/18/2024"
4,10,2440,"Home","12/18/2024"
3,4,389,"Sports","12/18/2024"
1,1,168,"Clothing","12/18/2025"
1,4,266,"Electronics","12/18/2025"
4,12,2542,"Grocery","12/18/2025"
4,15,2831,"Home","12/18/2025"
3,8,2648,"Sports","12/18/2025"
1,4,554,"Clothing","12/19/2024"
6,17,4700,"Electronics","12/19/2024"
8,24,5481,"Grocery","12/19/2024"
3,8,3573,"Home","12/19/2024"
3,11,2439,"Sports","12/19/2024"
4,11,2360,"Clothing","12/19/2025"
3,11,2079,"Electronics","12/19/2025"
6,12,2299,"Grocery","12/19/2025"
4,14,4521,"Home","12/19/2025"
3,7,2204,"Sports","12/19/2025"
3,10,1355,"Clothing","12/2/2024"
1,3,200,"Electronics","12/2/2024"
4,10,3038,"Grocery","12/2/2024"
4,10,1981,"Home","12/2/2024"
3,9,1153,"Sports","12/2/2024"
1,3,377,"Clothing","12/2/2025"
1,2,462,"Electronics","12/2/2025"
2,5,1300,"Grocery","12/2/2025"
5,17,4085,"Home","12/2/2025"
4,17,4454,"Sports","12/2/2025"
5,16,2789,"Clothing","12/20/2024"
6,24,3971,"Electronics","12/20/2024"
8,19,4658,"Grocery","12/20/2024"
9,29,5151,"Home","12/20/2024"
6,16,5229,"Sports","12/20/2024"
3,7,925,"Clothing","12/20/2025"
3,8,1958,"Electronics","12/20/2025"
3,10,952,"Grocery","12/20/2025"
6,16,3054,"Home","12/20/2025"
6,19,5370,"Sports","12/20/2025"
7,20,2718,"Clothing","12/21/2024"
2,7,1428,"Electronics","12/21/2024"
2,6,1594,"Grocery","12/21/2024"
6,12,3010,"Home","12/21/2024"
7,22,6307,"Sports","12/21/2024"
9,17,2375,"Clothing","12/21/2025"
7,24,5101,"Electronics","12/21/2025"
6,14,4541,"Grocery","12/21/2025"
4,11,3957,"Home","12/21/2025"
6,20,3599,"Sports","12/21/2025"
6,23,3819,"Clothing","12/22/2024"
1,1,70,"Electronics","12/22/2024"
6,19,4625,"Grocery","12/22/2024"
7,26,8889,"Home","12/22/2024"
9,27,8366,"Sports","12/22/2024"
1,2,201,"Clothing","12/22/2025"
2,5,1185,"Electronics","12/22/2025"
2,5,701,"Grocery","12/22/2025"
2,7,1367,"Home","12/22/2025"
2,4,305,"Sports","12/22/2025"
1,4,733,"Clothing","12/23/2024"
1,2,437,"Electronics","12/23/2024"
6,18,5102,"Grocery","12/23/2024"
7,19,5432,"Home","12/23/2024"
4,12,3474,"Sports","12/23/2024"
3,11,1209,"Clothing","12/23/2025"
2,4,791,"Electronics","12/23/2025"
1,3,575,"Grocery","12/23/2025"
6,17,4229,"Home","12/23/2025"
3,13,2991,"Sports","12/23/2025"
3,6,1359,"Clothing","12/24/2024"
3,4,790,"Electronics","12/24/2024"
3,9,2891,"Grocery","12/24/2024"
5,20,6434,"Home","12/24/2024"
6,16,4713,"Sports","12/24/2024"
3,10,1639,"Clothing","12/24/2025"
2,3,679,"Electronics","12/24/2025"
5,15,3102,"Home","12/24/2025"
5,13,4589,"Sports","12/24/2025"
3,12,2258,"Clothing","12/25/2024"
5,19,5380,"Electronics","12/25/2024"
3,7,2563,"Grocery","12/25/2024"
10,37,5819,"Home","12/25/2024"
4,17,4838,"Sports","12/25/2024"
7,25,4351,"Clothing","12/25/2025"
5,10,3176,"Electronics","12/25/2025"
3,8,2512,"Grocery","12/25/2025"
11,29,7847,"Home","12/25/2025"
8,15,4239,"Sports","12/25/2025"
7,21,4032,"Clothing","12/26/2024"
2,2,944,"Electronics","12/26/2024"
6,24,7515,"Grocery","12/26/2024"
3,11,2878,"Home","12/26/2024"
2,8,920,"Sports","12/26/2024"
3,8,1207,"Clothing","12/26/2025"
4,14,4445,"Electronics","12/26/2025"
5,10,2650,"Grocery","12/26/2025"
6,17,3375,"Home","12/26/2025"
3,7,1765,"Sports","12/26/2025"
3,9,1342,"Clothing","12/27/2024"
3,11,2619,"Electronics","12/27/2024"
2,7,1891,"Grocery","12/27/2024"
3,11,3768,"Home","12/27/2024"
6,23,4712,"Sports","12/27/2024"
5,14,2278,"Clothing","12/27/2025"
3,7,1656,"Electronics","12/27/2025"
4,15,4984,"Grocery","12/27/2025"
4,12,1667,"Home","12/27/2025"
8,26,4858,"Sports","12/27/2025"
5,19,3213,"Clothing","12/28/2024"
3,6,1023,"Electronics","12/28/2024"
6,18,5675,"Grocery","12/28/2024"
5,22,6574,"Home","12/28/2024"
3,13,3660,"Sports","12/28/2024"
5,10,1817,"Clothing","12/28/2025"
4,12,2328,"Electronics","12/28/2025"
11,26,7010,"Grocery","12/28/2025"
6,6,2112,"Home","12/28/2025"
4,15,5638,"Sports","12/28/2025"
3,12,1458,"Clothing","12/29/2024"
4,15,3014,"Electronics","12/29/2024"
8,27,5439,"Grocery","12/29/2024"
6,19,3939,"Home","12/29/2024"
4,12,646,"Sports","12/29/2024"
4,10,1718,"Clothing","12/29/2025"
6,15,4413,"Electronics","12/29/2025"
4,11,1809,"Grocery","12/29/2025"
9,35,10293,"Home","12/29/2025"
6,11,3315,"Sports","12/29/2025"
3,9,2323,"Clothing","12/3/2024"
2,6,573,"Electronics","12/3/2024"
6,15,3898,"Grocery","12/3/2024"
8,29,8179,"Home","12/3/2024"
8,17,3247,"Sports","12/3/2024"
2,5,1026,"Clothing","12/3/2025"
5,8,2125,"Electronics","12/3/2025"
2,6,2148,"Grocery","12/3/2025"
7,25,6270,"Home","12/3/2025"
3,10,2207,"Sports","12/3/2025"
3,8,1643,"Clothing","12/30/2024"
8,30,8226,"Electronics","12/30/2024"
2,6,1766,"Grocery","12/30/2024"
1,1,316,"Home","12/30/2024"
9,22,7258,"Sports","12/30/2024"
6,13,2389,"Clothing","12/30/2025"
1,3,587,"Electronics","12/30/2025"
5,12,3466,"Grocery","12/30/2025"
3,15,3684,"Home","12/30/2025"
2,7,2390,"Sports","12/30/2025"
1,3,193,"Clothing","12/31/2024"
2,7,1631,"Electronics","12/31/2024"
1,5,911,"Grocery","12/31/2024"
4,11,4366,"Home","12/31/2024"
1,1,147,"Sports","12/31/2024"
4,11,1272,"Clothing","12/31/2025"
4,13,3597,"Grocery","12/31/2025"
4,11,3677,"Home","12/31/2025"
5,13,2741,"Sports","12/31/2025"
1,5,840,"Clothing","12/4/2024"
2,10,2186,"Electronics","12/4/2024"
1,5,815,"Grocery","12/4/2024"
8,31,5421,"Home","12/4/2024"
1,3,232,"Sports","12/4/2024"
4,10,1376,"Clothing","12/4/2025"
3,13,3503,"Electronics","12/4/2025"
9,29,8046,"Grocery","12/4/2025"
9,27,7614,"Home","12/4/2025"
11,24,4954,"Sports","12/4/2025"
4,11,2553,"Clothing","12/5/2024"
3,7,1884,"Electronics","12/5/2024"
5,16,2465,"Grocery","12/5/2024"
7,22,7666,"Home","12/5/2024"
6,26,8377,"Sports","12/5/2024"
1,3,436,"Clothing","12/5/2025"
1,1,63,"Electronics","12/5/2025"
6,18,2805,"Grocery","12/5/2025"
5,21,2614,"Home","12/5/2025"
3,8,2271,"Sports","12/5/2025"
1,4,503,"Clothing","12/6/2024"
5,16,2954,"Electronics","12/6/2024"
9,20,4629,"Grocery","12/6/2024"
5,19,5987,"Home","12/6/2024"
5,15,3271,"Sports","12/6/2024"
3,12,2151,"Clothing","12/6/2025"
4,14,2881,"Electronics","12/6/2025"
2,7,2541,"Grocery","12/6/2025"
5,15,2880,"Home","12/6/2025"
5,16,4243,"Sports","12/6/2025"
2,3,248,"Clothing","12/7/2024"
2,4,985,"Grocery","12/7/2024"
4,14,3125,"Home","12/7/2024"
3,7,1970,"Sports","12/7/2024"
2,3,698,"Clothing","12/7/2025"
5,6,1511,"Electronics","12/7/2025"
2,3,532,"Grocery","12/7/2025"
5,20,7004,"Home","12/7/2025"
2,2,810,"Sports","12/7/2025"
6,20,2048,"Clothing","12/8/2024"
6,24,9174,"Electronics","12/8/2024"
4,14,1647,"Grocery","12/8/2024"
5,22,6668,"Home","12/8/2024"
5,11,2601,"Sports","12/8/2024"
8,28,4776,"Clothing","12/8/2025"
7,23,4764,"Electronics","12/8/2025"
4,11,2077,"Grocery","12/8/2025"
8,22,3935,"Home","12/8/2025"
6,18,4615,"Sports","12/8/2025"
6,19,4589,"Electronics","12/9/2024"
2,7,102,"Grocery","12/9/2024"
7,25,7391,"Home","12/9/2024"
5,15,2249,"Sports","12/9/2024"
5,15,1829,"Clothing","12/9/2025"
3,7,1418,"Electronics","12/9/2025"
3,12,1335,"Grocery","12/9/2025"
10,43,10392,"Home","12/9/2025"
6,12,1773,"Sports","12/9/2025"
2,7,2054,"Clothing","2/1/2025"
2,4,1553,"Electronics","2/1/2025"
6,19,4007,"Grocery","2/1/2025"
3,10,3378,"Home","2/1/2025"
4,17,4574,"Sports","2/1/2025"
6,16,2748,"Clothing","2/1/2026"
6,19,3964,"Electronics","2/1/2026"
5,15,3570,"Grocery","2/1/2026"
8,26,9275,"Home","2/1/2026"
3,9,1359,"Sports","2/1/2026"
5,19,2617,"Clothing","2/10/2025"
6,14,2239,"Electronics","2/10/2025"
4,8,2832,"Grocery","2/10/2025"
8,23,3893,"Home","2/10/2025"
4,13,3305,"Sports","2/10/2025"
3,7,854,"Clothing","2/10/2026"
3,10,2919,"Electronics","2/10/2026"
4,15,2092,"Grocery","2/10/2026"
3,13,2549,"Home","2/10/2026"
5,12,1067,"Sports","2/10/2026"
6,11,1167,"Clothing","2/11/2025"
2,9,2397,"Electronics","2/11/2025"
7,26,4727,"Grocery","2/11/2025"
5,14,4121,"Home","2/11/2025"
8,18,2484,"Sports","2/11/2025"
11,28,5453,"Clothing","2/11/2026"
6,17,6084,"Electronics","2/11/2026"
5,13,4442,"Grocery","2/11/2026"
5,11,3040,"Home","2/11/2026"
8,21,6583,"Sports","2/11/2026"
10,26,4194,"Clothing","2/12/2025"
2,9,2066,"Electronics","2/12/2025"
5,16,5449,"Grocery","2/12/2025"
6,18,5524,"Home","2/12/2025"
4,10,2555,"Sports","2/12/2025"
7,23,4183,"Clothing","2/12/2026"
9,30,6415,"Electronics","2/12/2026"
7,23,5285,"Grocery","2/12/2026"
5,13,2607,"Home","2/12/2026"
9,32,5853,"Sports","2/12/2026"
6,19,4346,"Clothing","2/13/2025"
1,5,687,"Electronics","2/13/2025"
4,14,2548,"Grocery","2/13/2025"
11,21,6486,"Home","2/13/2025"
7,11,2066,"Sports","2/13/2025"
5,19,3129,"Clothing","2/13/2026"
5,19,4006,"Electronics","2/13/2026"
4,15,4057,"Grocery","2/13/2026"
5,15,3528,"Home","2/13/2026"
7,27,5300,"Sports","2/13/2026"
9,22,3896,"Clothing","2/14/2025"
5,14,3752,"Electronics","2/14/2025"
7,24,6769,"Grocery","2/14/2025"
10,30,7802,"Home","2/14/2025"
7,21,5116,"Sports","2/14/2025"
12,37,6003,"Clothing","2/14/2026"
9,25,6090,"Electronics","2/14/2026"
4,17,3732,"Grocery","2/14/2026"
12,33,10479,"Home","2/14/2026"
7,18,5201,"Sports","2/14/2026"
7,24,4360,"Clothing","2/15/2025"
4,16,3096,"Electronics","2/15/2025"
8,21,5047,"Grocery","2/15/2025"
8,23,4897,"Home","2/15/2025"
3,12,4008,"Sports","2/15/2025"
10,35,6147,"Clothing","2/15/2026"
2,3,603,"Electronics","2/15/2026"
7,29,7804,"Grocery","2/15/2026"
7,24,5958,"Home","2/15/2026"
6,14,3654,"Sports","2/15/2026"
6,23,5035,"Clothing","2/16/2025"
5,17,3398,"Electronics","2/16/2025"
5,11,3154,"Grocery","2/16/2025"
2,7,2085,"Home","2/16/2025"
6,19,5482,"Sports","2/16/2025"
7,21,4045,"Clothing","2/16/2026"
1,1,206,"Electronics","2/16/2026"
4,9,2252,"Grocery","2/16/2026"
8,21,5858,"Home","2/16/2026"
5,10,1724,"Sports","2/16/2026"
7,27,4122,"Clothing","2/17/2025"
1,3,188,"Electronics","2/17/2025"
4,7,1847,"Grocery","2/17/2025"
7,24,6692,"Home","2/17/2025"
4,11,2415,"Sports","2/17/2025"
6,21,3178,"Clothing","2/17/2026"
4,12,2187,"Electronics","2/17/2026"
9,24,5064,"Grocery","2/17/2026"
4,13,2413,"Home","2/17/2026"
7,15,2148,"Sports","2/17/2026"
5,15,1644,"Clothing","2/18/2025"
2,4,535,"Electronics","2/18/2025"
6,23,6547,"Grocery","2/18/2025"
5,16,5522,"Home","2/18/2025"
10,29,5067,"Sports","2/18/2025"
7,21,2164,"Clothing","2/18/2026"
4,11,1793,"Electronics","2/18/2026"
6,23,6416,"Grocery","2/18/2026"
7,29,10542,"Home","2/18/2026"
5,16,5736,"Sports","2/18/2026"
6,17,2574,"Clothing","2/19/2025"
4,7,2055,"Electronics","2/19/2025"
11,24,5975,"Grocery","2/19/2025"
4,9,1225,"Home","2/19/2025"
5,24,6895,"Sports","2/19/2025"
2,2,333,"Clothing","2/19/2026"
3,13,2194,"Electronics","2/19/2026"
7,18,5024,"Grocery","2/19/2026"
15,49,11857,"Home","2/19/2026"
7,17,4182,"Sports","2/19/2026"
4,7,1033,"Clothing","2/2/2025"
5,16,4803,"Electronics","2/2/2025"
8,28,8451,"Grocery","2/2/2025"
7,28,9513,"Home","2/2/2025"
4,16,2766,"Sports","2/2/2025"
7,26,4716,"Clothing","2/2/2026"
5,21,5657,"Electronics","2/2/2026"
4,13,3051,"Grocery","2/2/2026"
6,10,3144,"Home","2/2/2026"
3,13,4809,"Sports","2/2/2026"
3,6,811,"Clothing","2/20/2025"
7,20,4327,"Electronics","2/20/2025"
6,18,3923,"Grocery","2/20/2025"
12,40,7846,"Home","2/20/2025"
3,5,1381,"Sports","2/20/2025"
5,11,2469,"Clothing","2/20/2026"
3,7,1610,"Electronics","2/20/2026"
3,8,2798,"Grocery","2/20/2026"
5,23,8437,"Home","2/20/2026"
8,16,3240,"Sports","2/20/2026"
8,27,6726,"Clothing","2/21/2025"
4,10,1727,"Electronics","2/21/2025"
7,20,4897,"Grocery","2/21/2025"
9,23,7165,"Home","2/21/2025"
5,11,3458,"Sports","2/21/2025"
9,32,5784,"Clothing","2/21/2026"
6,20,3727,"Electronics","2/21/2026"
6,18,3659,"Grocery","2/21/2026"
6,22,6690,"Home","2/21/2026"
5,11,3748,"Sports","2/21/2026"
4,12,2485,"Clothing","2/22/2025"
7,21,6671,"Electronics","2/22/2025"
7,27,6141,"Grocery","2/22/2025"
7,29,9292,"Home","2/22/2025"
3,11,3166,"Sports","2/22/2025"
4,10,1483,"Clothing","2/22/2026"
3,7,2901,"Electronics","2/22/2026"
5,16,3605,"Grocery","2/22/2026"
7,23,7253,"Home","2/22/2026"
7,23,5102,"Sports","2/22/2026"
7,27,5541,"Clothing","2/23/2025"
1,5,2360,"Electronics","2/23/2025"
8,25,7070,"Grocery","2/23/2025"
11,31,8659,"Home","2/23/2025"
4,16,2459,"Sports","2/23/2025"
7,20,4161,"Clothing","2/23/2026"
4,16,4964,"Electronics","2/23/2026"
2,4,839,"Grocery","2/23/2026"
9,22,5383,"Home","2/23/2026"
4,12,2870,"Sports","2/23/2026"
7,15,2412,"Clothing","2/24/2025"
3,14,3579,"Electronics","2/24/2025"
4,13,3302,"Grocery","2/24/2025"
5,17,6256,"Home","2/24/2025"
2,8,684,"Sports","2/24/2025"
3,12,2120,"Clothing","2/24/2026"
2,4,851,"Electronics","2/24/2026"
1,5,84,"Grocery","2/24/2026"
6,17,5397,"Home","2/24/2026"
2,5,2021,"Sports","2/24/2026"
3,6,865,"Clothing","2/25/2025"
2,7,1691,"Electronics","2/25/2025"
6,21,6054,"Grocery","2/25/2025"
10,30,6510,"Home","2/25/2025"
8,28,6760,"Sports","2/25/2025"
6,24,4963,"Clothing","2/25/2026"
4,16,3793,"Electronics","2/25/2026"
5,17,3197,"Grocery","2/25/2026"
7,25,6625,"Home","2/25/2026"
6,22,6864,"Sports","2/25/2026"
7,23,4389,"Clothing","2/26/2025"
